step,q,iangle,r1,velocity_scale,chisq
0,1.1429,61.3832,0.126616,509.03,173.001
1,1.1429,61.3832,0.126616,509.03,173.001
2,1.1429,61.3832,0.126616,509.03,173.001
3,1.1429,61.3832,0.126616,509.03,173.001
4,1.04155,61.2442,0.1217,489.612,174.309
5,1.04155,61.2442,0.1217,489.612,174.309
6,1.04155,61.2442,0.1217,489.612,174.309
7,1.04155,61.2442,0.1217,489.612,174.309
8,1.11593,61.524,0.11913,470.23,173.513
9,1.11593,61.524,0.11913,470.23,173.513
10,1.0274,62.1613,0.127246,457.699,170.972
11,1.0274,62.1613,0.127246,457.699,170.972
12,1.0274,62.1613,0.127246,457.699,170.972
13,1.0274,62.1613,0.127246,457.699,170.972
14,1.0274,62.1613,0.127246,457.699,170.972
15,1.0274,62.1613,0.127246,457.699,170.972
16,1.0274,62.1613,0.127246,457.699,170.972
17,1.00919,61.9822,0.129593,458.749,171.587
18,1.00919,61.9822,0.129593,458.749,171.587
19,1.04366,61.4253,0.124469,453.393,171.521
20,1.04366,61.4253,0.124469,453.393,171.521
21,1.04366,61.4253,0.124469,453.393,171.521
22,1.04366,61.4253,0.124469,453.393,171.521
23,1.05876,61.434,0.125278,442.676,171.092
24,1.05876,61.434,0.125278,442.676,171.092
25,1.10529,60.6376,0.123247,441.196,171.888
26,1.14289,60.3466,0.123925,432.476,171.667
27,1.08441,60.0386,0.125122,430.987,171.823
28,1.08441,60.0386,0.125122,430.987,171.823
29,1.09445,59.9542,0.123772,443.339,171.908
30,1.09969,59.3667,0.12244,441.312,173.132
31,1.09969,59.3667,0.12244,441.312,173.132
32,1.09969,59.3667,0.12244,441.312,173.132
33,1.09969,59.3667,0.12244,441.312,173.132
34,1.17473,59.5813,0.120269,436.617,172.316
35,1.17473,59.5813,0.120269,436.617,172.316
36,1.17473,59.5813,0.120269,436.617,172.316
37,1.17473,59.5813,0.120269,436.617,172.316
38,1.17473,59.5813,0.120269,436.617,172.316
39,1.1586,59.0611,0.123946,448.968,170.39
40,1.1586,59.0611,0.123946,448.968,170.39
41,1.1586,59.0611,0.123946,448.968,170.39
42,1.1586,59.0611,0.123946,448.968,170.39
43,1.1586,59.0611,0.123946,448.968,170.39
44,1.1586,59.0611,0.123946,448.968,170.39
45,1.21579,59.5924,0.122967,460.688,170.648
46,1.24806,59.0964,0.123409,446.017,171.203
47,1.24806,59.0964,0.123409,446.017,171.203
48,1.24806,59.0964,0.123409,446.017,171.203
49,1.24806,59.0964,0.123409,446.017,171.203
50,1.24806,59.0964,0.123409,446.017,171.203
51,1.24806,59.0964,0.123409,446.017,171.203
52,1.24806,59.0964,0.123409,446.017,171.203
53,1.24806,59.0964,0.123409,446.017,171.203
54,1.24806,59.0964,0.123409,446.017,171.203
55,1.24806,59.0964,0.123409,446.017,171.203
56,1.1525,58.5861,0.123929,456.089,170.677
57,1.1525,58.5861,0.123929,456.089,170.677
58,1.15244,58.237,0.122806,444.663,171.958
59,1.15908,57.8008,0.123248,453.551,171.876
60,1.15908,57.8008,0.123248,453.551,171.876
61,1.15908,57.8008,0.123248,453.551,171.876
62,1.15908,57.8008,0.123248,453.551,171.876
63,1.15908,57.8008,0.123248,453.551,171.876
64,1.15908,57.8008,0.123248,453.551,171.876
65,1.11968,57.8975,0.121524,465.819,174.982
66,1.11968,57.8975,0.121524,465.819,174.982
67,1.11968,57.8975,0.121524,465.819,174.982
68,0.992164,56.31,0.128117,471.783,175.198
69,1.03536,57.5281,0.129153,472.427,171.618
70,1.00574,59.6079,0.126152,478.792,172.627
71,1.00574,59.6079,0.126152,478.792,172.627
72,1.00574,59.6079,0.126152,478.792,172.627
73,1.00574,59.6079,0.126152,478.792,172.627
74,0.941763,60.2202,0.135836,486.133,173.956
75,0.938437,59.7143,0.135685,474.797,172.934
76,0.938437,59.7143,0.135685,474.797,172.934
77,0.938437,59.7143,0.135685,474.797,172.934
78,0.938437,59.7143,0.135685,474.797,172.934
79,0.938437,59.7143,0.135685,474.797,172.934
80,0.892549,61.8214,0.135286,489.35,171.687
81,0.892549,61.8214,0.135286,489.35,171.687
82,0.892549,61.8214,0.135286,489.35,171.687
83,0.892549,61.8214,0.135286,489.35,171.687
84,0.892549,61.8214,0.135286,489.35,171.687
85,0.892549,61.8214,0.135286,489.35,171.687
86,0.892549,61.8214,0.135286,489.35,171.687
87,0.892549,61.8214,0.135286,489.35,171.687
88,0.880152,62.1374,0.139846,497.253,178.094
89,0.880152,62.1374,0.139846,497.253,178.094
90,0.953638,62.972,0.134306,500.654,175.019
91,0.953638,62.972,0.134306,500.654,175.019
92,0.953638,62.972,0.134306,500.654,175.019
93,0.953638,62.972,0.134306,500.654,175.019
94,1.01042,61.2963,0.130036,498.593,171.14
95,1.01042,61.2963,0.130036,498.593,171.14
96,1.06984,61.2546,0.12323,475.092,171.414
97,1.06984,61.2546,0.12323,475.092,171.414
98,1.06984,61.2546,0.12323,475.092,171.414
99,1.06984,61.2546,0.12323,475.092,171.414
100,1.06984,61.2546,0.12323,475.092,171.414
101,1.06984,61.2546,0.12323,475.092,171.414
102,1.13295,61.3715,0.122603,461.532,170.483
103,1.13924,60.5376,0.121356,460.949,171.887
104,1.13924,60.5376,0.121356,460.949,171.887
