iter,sum_sq,chisq_lc,lambda,step_norm,gain_ratio,fev,prior_scale,status
1,2.26196,2.26196,0.59643,0.700244,-1,8,0,eval_fail
2,2.26196,2.26196,2.38572,0.69688,-1,8,0,eval_fail
3,2.26196,2.26196,19.0858,0.403053,-1,8,0,eval_fail
4,1.86407,1.86407,6.36192,0.0781143,1.65478,15,0,accept
5,1.23889,1.23889,2.12064,0.187544,1.25837,22,0,accept
6,0.657969,0.657969,0.70688,0.303858,1.11787,29,0,accept
7,0.0828878,0.0828878,0.235627,0.467464,1.35543,36,0,accept
8,0.00378147,0.00378147,0.0785422,0.230455,1.01054,43,0,accept
9,0.000435732,0.000435732,0.0261807,0.0724642,0.959743,50,0,accept
10,8.26377e-05,8.26377e-05,0.00872691,0.0349169,1.00981,57,0,accept
11,5.85931e-05,5.85931e-05,0.00290897,0.0161508,1.05139,64,0,accept
12,5.85088e-05,5.85088e-05,0.000969657,0.000865749,7.37269,71,0,accept
14,0.480649,0.000651063,0.00753339,1.79397,0.887212,86,0.166667,accept
15,0.0518774,0.00044876,0.00374892,1.39561,0.897473,93,0.166667,accept
16,0.00786082,0.000390588,0.00184283,0.944617,0.89907,100,0.166667,accept
17,0.00335313,0.000300959,0.000862114,0.573312,0.905187,107,0.166667,accept
18,0.00277462,0.000269138,0.000287371,0.346458,0.998637,114,0.166667,accept
19,0.0022299,0.000229527,9.57904e-05,0.658453,1.33816,121,0.166667,accept
20,0.00180188,0.000185397,3.19301e-05,0.542499,1.30328,128,0.166667,accept
21,0.00180188,0.000185397,6.38603e-05,1.00329,-inf,129,0.166667,reject
22,0.00180188,0.000185397,0.000255441,0.712664,-inf,130,0.166667,reject
23,0.00180188,0.000185397,0.00204353,0.385822,-inf,131,0.166667,reject
24,0.00173261,0.000271164,0.000681176,0.0800854,1.14627,138,0.166667,accept
25,0.00173261,0.000271164,0.00136235,0.288209,-inf,139,0.166667,reject
26,0.00173261,0.000271164,0.00544941,0.257257,-inf,140,0.166667,reject
27,0.00163714,0.000215867,0.00181647,0.0750673,1.50921,147,0.166667,accept
28,0.00163714,0.000215867,0.00363294,0.239442,-inf,148,0.166667,reject
29,0.00117528,7.92487e-05,0.00121098,0.199039,1.27635,155,0.166667,accept
30,0.000562229,8.06622e-05,0.000708334,0.406929,0.872974,162,0.166667,accept
31,0.000264669,8.07407e-05,0.000236111,0.395845,0.966274,169,0.166667,accept
32,0.000114623,8.0649e-05,7.87038e-05,0.418246,0.979505,176,0.166667,accept
33,8.69975e-05,8.16317e-05,2.62346e-05,0.244508,0.982763,183,0.166667,accept
34,8.22796e-05,7.99086e-05,9.04335e-06,0.175149,0.934291,190,0.166667,accept
35,8.12437e-05,8.02131e-05,9.04334e-06,0.1864,0.502365,197,0.166667,accept
36,8.12437e-05,8.02131e-05,1.80867e-05,0.0916809,-0.0640118,198,0.166667,reject
37,8.12437e-05,8.02131e-05,7.23468e-05,0.0836842,-0.0703285,199,0.166667,reject
38,8.11764e-05,7.93687e-05,0.00012755,0.060292,0.0431015,206,0.166667,accept
39,8.00273e-05,7.92058e-05,0.000108898,0.0423313,0.763425,213,0.166667,accept
40,8.00273e-05,7.92058e-05,0.000217795,0.0461847,-1.21868,214,0.166667,reject
41,8.00273e-05,7.92058e-05,0.000871181,0.0353604,-1.11817,215,0.166667,reject
42,8.14302e-05,7.92058e-05,0.00365456,0.0089696,-0.59131,224,0.333333,reject
43,8.14302e-05,7.92058e-05,0.0146182,0.00643542,-0.144927,225,0.333333,reject
44,8.12629e-05,7.93373e-05,0.0136907,0.00262737,0.699425,232,0.333333,accept
45,8.12621e-05,7.96387e-05,0.0270327,0.00210777,0.00428185,239,0.333333,accept
47,8.19798e-05,8.01784e-05,0.00276846,0.004797,0.437865,254,0.5,accept
48,8.19798e-05,8.01784e-05,0.00553693,0.00567198,-0.653911,255,0.5,reject
49,8.1958e-05,7.98111e-05,0.00814813,0.00361919,0.110811,262,0.5,accept
50,8.1958e-05,7.98111e-05,0.0162963,0.0042049,-0.107682,263,0.5,reject
51,8.1958e-05,7.98111e-05,0.065185,0.0026204,-0.00919028,264,0.5,reject
52,8.19103e-05,7.98711e-05,0.0657909,0.000906445,0.39487,271,0.5,accept
54,8.2598e-05,7.98711e-05,0.00740577,0.00322517,-0.978616,280,0.666667,reject
55,8.2598e-05,7.98711e-05,0.0296231,0.00206761,-0.248682,281,0.666667,reject
56,8.25698e-05,7.99152e-05,0.0273141,0.000765849,0.713583,288,0.666667,accept
57,8.25576e-05,8.00573e-05,0.0285605,0.000752045,0.321327,295,0.666667,accept
58,8.25542e-05,8.0017e-05,0.041617,0.000660332,0.114826,302,0.666667,accept
60,8.3126e-05,8.0373e-05,0.00154581,0.00189616,0.959812,317,0.833333,accept
61,8.3126e-05,8.0373e-05,0.00309163,0.005818,-0.494827,318,0.833333,reject
62,8.31129e-05,8.05105e-05,0.00407248,0.00326281,0.158983,325,0.833333,accept
63,8.31129e-05,8.05105e-05,0.00814496,0.00251794,-0.505495,326,0.833333,reject
64,8.3088e-05,8.03166e-05,0.00817906,0.00161023,0.419418,333,0.833333,accept
65,8.3088e-05,8.03166e-05,0.0163581,0.00382824,-0.19678,334,0.833333,reject
66,8.3088e-05,8.03166e-05,0.0654325,0.00241588,-0.344744,335,0.833333,reject
67,8.30614e-05,8.04164e-05,0.073632,0.000840552,0.249792,342,0.833333,accept
68,8.30614e-05,8.04164e-05,0.147264,0.00075486,-0.128987,343,0.833333,reject
70,8.36062e-05,8.04164e-05,0.0111765,0.00388767,-2.04977,352,1,reject
71,8.36062e-05,8.04164e-05,0.0447061,0.00252119,-1.27209,353,1,reject
72,8.36062e-05,8.04164e-05,0.357649,0.000929728,-0.411844,354,1,reject
73,8.35888e-05,8.03838e-05,0.169139,0.000160242,0.903889,361,1,accept
74,8.35823e-05,8.03662e-05,0.169756,0.000206496,0.42302,368,1,accept
75,8.35782e-05,8.03794e-05,0.0565855,0.000107872,1.01869,375,1,accept
76,8.35782e-05,8.03794e-05,0.113171,0.000342082,-0.285988,376,1,reject
77,8.35772e-05,8.042e-05,0.162222,0.000184079,0.121609,383,1,accept
78,8.35772e-05,8.042e-05,0.324444,0.000180153,-0.128733,384,1,reject
79,8.35754e-05,8.04095e-05,0.347862,9.60135e-05,0.29182,391,1,accept
80,8.35746e-05,8.04207e-05,0.348242,5.07493e-05,0.44852,398,1,accept
81,8.35737e-05,8.04295e-05,0.332365,4.25231e-05,0.678618,405,1,accept
82,8.35737e-05,8.04295e-05,0.664731,7.90891e-05,-0.413037,406,1,reject
83,8.35737e-05,8.04295e-05,2.65892,4.0953e-05,-0.199487,407,1,reject
84,8.35737e-05,8.04295e-05,21.2714,1.05477e-05,-0.470834,408,1,reject
85,8.35737e-05,8.04295e-05,340.342,1.33086e-06,-0.422869,409,1,reject
